"center";"Bat"
11158;1.445
11159;2.89
11160;3.372
11161;3.372
11162;3.372
11163;3.372
11164;2.409
11165;2.409
11166;2.409
11167;1.445
11168;0.482
11169;0.482
11170;0.963
11171;2.409
11172;2.89
11173;4.817
1128;0.963
11174;4.817
11175;4.336
11176;4.817
11177;4.817
11178;5.299
11179;3.854
11180;4.336
11181;2.89
11182;2.409
11183;1.927
1129;1.445
11184;1.445
11185;1.927
11186;1.927
11187;1.927
11188;0.963
11189;0.963
11190;0.963
11191;0.963
11192;0.963
11193;0.482
1130;1.445
1131;1.445
11205;0.482
11206;0.482
11207;0.963
11208;2.89
11209;2.89
11210;2.89
11211;2.89
11212;2.89
11213;2.409
1132;1.445
11214;2.89
11215;2.409
11216;0.963
11217;0.963
11218;0.963
11219;0.963
11220;0.963
11221;0.963
11222;0.963
11223;0.482
1133;1.445
11224;0.482
124;0.482
11232;0.482
11233;0.482
1134;1.445
11234;0.482
11235;0.482
11236;0.482
11237;0.482
11238;0.482
11239;0.482
11240;0.482
1135;2.409
1136;1.927
1137;1.445
1138;1.445
11283;0.482
1139;2.409
11284;0.482
11285;0.482
11286;0.963
11287;1.927
11288;1.927
11289;1.927
11290;1.927
11291;1.445
11292;1.445
11293;1.445
1140;2.409
11294;0.963
11295;0.482
11298;0.963
11299;0.963
11300;1.445
11301;1.445
11302;1.445
11303;1.445
1141;2.89
11304;1.445
11305;1.445
11306;0.482
11307;0.963
11308;0.482
11309;0.482
11310;0.482
11311;0.482
11312;0.482
11313;0.482
1142;2.89
11314;0.482
11315;0.482
11316;0.482
1143;2.409
125;0.482
1144;1.927
1145;1.445
1146;1.445
11356;0.482
11357;0.482
11358;0.482
11359;0.482
11360;0.482
11361;0.482
11362;0.482
11363;0.482
1147;0.963
11364;0.482
11365;0.482
11366;0.963
11367;0.963
11368;0.963
11369;0.963
11370;0.963
11371;0.963
23;0.963
11372;0.482
11373;0.482
1148;0.482
11374;0.482
11375;0.482
11376;0.963
11377;1.445
11378;1.445
11379;1.445
11380;1.445
11381;1.445
11382;0.963
11383;0.963
1149;0.963
11384;0.482
1150;0.482
1151;0.482
1152;0.482
11423;0.963
1153;0.482
11424;0.963
11425;0.963
126;0.482
11426;0.963
11427;0.482
11428;0.482
11429;0.482
11430;0.482
11432;0.482
11433;0.963
1154;0.482
11434;0.963
11435;0.963
11436;0.963
11437;0.963
11438;0.963
11439;0.963
11440;0.963
11442;0.482
11443;0.482
1155;0.482
11444;0.482
11445;0.482
11446;0.482
11447;0.482
11448;0.482
11449;0.482
1156;0.482
11457;0.482
11458;0.482
11459;0.482
11460;0.963
11461;0.963
11462;0.963
11463;0.963
11464;0.963
11465;0.963
11466;0.482
11467;0.482
11468;0.482
11486;0.482
11487;0.482
11488;0.482
11489;0.482
11490;0.482
11491;0.963
11492;0.482
11493;0.482
11494;0.482
11495;0.482
11496;0.482
11497;0.482
11498;0.482
11508;0.482
11509;0.482
11510;0.482
11511;0.482
11512;0.482
11513;0.482
11514;0.482
11515;0.963
11516;0.482
11517;0.482
11518;0.482
11519;0.482
11520;0.482
11521;0.963
11522;1.445
11523;0.963
11524;1.445
11525;1.445
127;0.482
11526;1.445
11527;1.445
11528;1.445
11529;0.963
11530;0.482
11531;0.482
11532;0.963
11533;0.482
11534;0.482
11535;0.482
11536;0.482
11537;0.482
11538;0.482
11539;0.482
11540;0.482
11541;1.445
11542;1.927
11543;2.89
11544;2.89
11545;2.89
11546;2.89
11547;2.89
11548;3.372
11549;2.409
11550;1.927
11551;0.963
11552;0.963
11553;0.963
11554;0.963
11555;0.963
11556;0.482
11562;0.482
11563;0.482
11564;0.482
11565;0.482
11569;0.482
11570;0.482
11571;0.482
11572;0.482
11573;0.482
11574;0.482
11575;0.482
11576;0.482
11577;0.482
11591;0.482
11592;0.482
11593;0.482
11594;0.482
11595;0.482
11596;0.482
11597;0.482
11598;0.482
11621;0.482
11622;0.482
11623;0.482
11624;0.482
11625;0.482
128;0.482
11626;0.482
11627;0.482
11628;0.482
11629;0.482
11630;0.482
11631;0.482
11635;0.482
11636;0.482
11637;0.482
11638;0.482
11639;0.482
11640;0.482
11641;0.482
11642;0.482
11643;0.482
11649;0.482
11650;0.482
11651;0.482
11652;0.963
11653;0.963
11654;0.963
11655;0.963
11656;0.963
11657;0.482
11658;0.482
11659;0.482
11693;0.482
11694;0.482
11695;0.482
11696;0.963
11697;0.963
11698;0.963
11699;1.445
11700;1.445
11701;0.963
11702;0.963
11703;0.963
11704;0.482
11705;0.482
11706;0.482
11714;0.482
11715;0.482
11716;0.482
11717;0.482
11718;0.482
11719;0.482
11720;0.482
11721;0.482
129;0.482
11733;0.482
11734;0.482
11735;0.482
11736;0.482
11737;0.482
11738;0.482
11739;0.482
11740;0.482
11759;0.482
11760;0.482
11761;0.482
11762;0.482
11763;0.482
11764;0.482
11765;0.482
11766;0.482
11777;0.482
11778;0.963
11779;0.963
11780;0.963
11781;1.445
11782;1.445
11783;1.445
11784;1.445
11785;1.445
11786;1.445
11787;0.963
11788;0.482
11791;0.482
11792;0.482
11793;0.482
11794;0.482
11795;0.482
11796;0.482
11797;0.963
11798;0.963
11799;0.963
11800;0.482
11801;0.482
11802;0.482
11803;0.482
11804;0.482
130;0.482
11836;0.482
11837;0.482
11838;0.482
11839;0.482
11840;0.482
11841;0.482
11842;0.482
11843;0.482
11850;1.445
11851;1.927
11852;1.927
11853;1.927
11854;1.927
11855;1.927
11856;1.927
11857;1.927
11858;0.963
11859;0.482
11860;0.482
11861;0.482
11862;0.482
11863;0.482
11864;0.482
11882;0.482
11883;0.482
1199;0.482
11884;0.482
11885;0.482
11886;0.482
11887;0.482
11888;0.482
11889;0.482
1200;0.482
11894;0.482
11895;0.482
11896;0.482
11897;0.482
11898;0.482
11899;0.482
11900;0.482
11901;0.482
1201;0.482
11907;0.482
11908;0.482
11909;0.482
11910;0.963
11911;0.963
11912;0.963
11913;0.963
1202;0.482
11914;0.963
11915;0.482
11916;0.482
11917;0.482
11923;0.482
1203;0.482
11924;0.482
11925;0.482
11926;0.482
131;0.482
1204;0.482
1205;0.482
11952;0.482
11953;0.963
1206;0.482
11954;0.963
11955;1.445
11956;1.445
11957;1.445
11958;1.445
11959;1.445
11960;0.963
11961;0.482
11962;0.482
1207;0.482
1208;0.482
1209;0.482
11985;0.482
11986;0.482
11987;0.482
11988;0.963
11989;1.927
11990;2.409
11991;3.372
11992;3.854
11993;3.372
1210;0.482
11994;3.854
11995;4.336
11996;4.336
11997;3.854
11998;2.89
11999;1.927
12000;1.927
12001;1.927
12002;1.445
12003;0.963
1211;0.482
12004;0.963
12005;0.963
12006;0.963
12007;0.963
12008;0.482
12009;0.482
12010;0.482
12011;1.445
12012;1.927
12013;3.854
1212;0.482
12014;5.781
12015;7.226
12016;7.226
12017;7.708
12018;9.153
12019;8.671
12020;8.19
12021;6.263
12022;3.854
12023;2.89
1213;0.482
12024;2.409
12025;2.409
12026;0.963
132;0.482
12027;0.482
12028;0.482
12029;0.482
12030;0.482
12031;0.482
12032;0.482
1214;0.482
12041;0.482
12042;1.445
12043;1.445
12044;1.445
12045;1.445
12046;1.445
12047;1.445
12048;1.445
12049;1.445
12050;1.445
12052;0.482
12053;0.482
12054;0.482
12055;0.482
12056;0.482
12057;0.482
12058;0.963
12059;0.963
12060;0.963
12061;0.963
12062;1.445
12063;1.445
12064;1.445
12065;1.445
12066;0.963
12067;0.963
12068;0.482
12069;0.482
12070;0.482
1220;0.482
1221;0.482
1222;0.482
1223;0.963
133;3.372
1224;0.482
12143;0.482
1225;0.482
12144;0.963
12145;0.963
12146;0.963
12147;0.963
12148;0.482
12149;0.482
12150;0.482
1226;0.482
1227;0.482
1228;0.482
1229;0.482
12184;0.482
12185;0.482
12186;0.963
12187;1.445
12188;1.445
12189;1.445
12190;1.445
12191;1.445
12192;1.445
12193;1.445
1230;0.482
12194;1.445
12195;0.482
12197;0.482
12198;0.963
12199;0.963
12200;0.963
12201;0.963
12202;0.963
12203;0.963
12204;0.963
12205;0.482
12208;0.482
12209;0.482
12210;0.482
12211;0.482
12212;0.482
12213;0.963
12214;0.963
12215;0.963
12216;0.963
12217;0.963
12218;0.963
12219;0.963
12220;0.482
12221;0.482
12222;0.482
12223;0.482
134;3.372
12227;0.482
12228;1.927
12229;1.927
12230;1.927
12231;1.927
12232;1.927
12233;1.927
12234;1.927
12235;1.445
12262;0.482
12263;0.482
12264;0.482
12265;0.482
12266;0.482
12267;0.482
12268;0.482
12269;0.482
12270;0.482
12271;0.482
12277;0.482
12278;0.482
12279;0.482
12280;0.482
12281;0.482
12282;0.482
12283;0.482
1239;0.482
12284;0.482
12291;0.482
12292;0.482
12293;0.482
1240;0.482
12294;0.482
12295;0.482
12296;0.482
12297;0.482
12298;0.482
12300;0.482
12301;0.482
12302;0.482
12303;0.482
1241;0.482
12304;0.963
12305;0.963
12306;0.963
12307;0.963
12308;0.482
12309;0.482
12310;0.963
12311;0.963
12312;0.482
12313;0.482
1242;0.482
12314;0.482
12315;0.482
12316;0.482
12317;0.482
12319;0.482
12320;0.482
12321;0.482
12322;0.963
12323;0.963
1243;0.963
12324;0.963
12325;0.963
12326;0.963
135;3.372
12327;0.482
12328;0.482
12329;0.963
12330;0.963
12331;0.963
12332;0.963
12333;0.963
1244;0.963
12334;0.482
12335;0.482
12336;0.482
12341;0.482
12342;0.482
12343;0.482
1245;0.963
12344;0.482
12345;0.482
12346;0.482
12347;0.482
12348;0.482
12349;0.482
1246;0.963
12356;0.482
12357;0.482
12358;0.482
12359;0.482
12360;0.482
12361;0.482
12362;0.482
12363;0.482
1247;0.963
12365;0.482
12366;0.482
12367;0.482
12368;0.482
12369;0.963
12370;0.963
12371;0.963
12372;0.963
1248;0.963
12374;0.482
12375;0.482
12376;0.482
12377;0.482
12378;0.963
12379;0.963
12380;0.963
12381;1.445
24;0.963
12382;1.927
12383;1.927
1249;0.963
12384;1.927
12385;1.927
12386;1.445
12387;1.445
12388;1.445
12389;1.445
12390;0.482
12391;0.482
12392;0.482
12393;0.482
1250;0.963
12394;0.482
12395;0.482
12396;1.445
12397;0.963
12398;0.963
12399;0.963
12400;0.963
12401;0.963
12402;1.927
12403;1.927
1251;0.482
12404;0.963
12405;0.963
12406;1.927
12407;1.927
12408;1.927
12409;2.409
12410;1.445
12411;1.445
12412;1.445
12413;1.445
1252;0.482
12414;0.963
12415;0.482
12416;0.482
12417;0.482
12418;0.482
12419;0.482
12420;0.482
12421;0.482
12422;0.482
12423;0.482
1253;0.482
12424;0.482
12425;0.482
136;3.372
12475;0.482
12476;0.482
12477;0.482
12478;0.482
12479;0.482
12480;0.482
12481;0.482
12482;0.482
12489;0.482
12490;0.482
12491;0.482
12492;0.482
12493;0.482
12494;0.482
12495;0.482
12496;0.963
12497;0.963
12498;0.482
12499;1.445
12500;1.927
12501;2.409
12502;2.409
12503;2.409
12504;1.927
12505;1.445
12506;1.445
12507;1.445
12508;0.482
12520;0.482
12521;0.482
12522;0.482
12523;0.482
12524;0.482
12525;0.482
12526;0.482
137;3.372
12527;0.482
12528;0.482
12538;0.482
12539;0.482
12540;0.482
12541;0.482
12542;0.482
12543;0.482
12544;0.482
12545;0.482
12546;0.482
12547;0.482
12548;0.482
12549;0.482
12550;0.482
12551;0.482
12552;0.482
12553;0.482
12576;0.482
12577;0.482
12578;0.482
12579;0.482
12580;0.482
12581;0.482
12582;0.963
12583;0.963
12584;0.482
12585;0.482
12586;0.482
12587;0.482
12588;0.482
12589;0.482
12590;0.482
12591;0.482
12592;0.482
12593;0.482
12594;0.482
12596;0.482
12597;0.482
12598;0.482
12599;0.482
12600;0.482
12601;0.482
12602;0.482
12603;0.482
12604;0.482
12605;0.482
12610;0.482
12611;0.482
12612;0.482
12613;0.482
12614;0.482
12615;0.482
12616;0.482
12617;0.482
138;3.372
1275;0.482
12645;0.482
12646;0.482
12647;0.963
12648;0.963
12649;0.963
12650;0.963
12651;0.963
12652;0.963
12653;0.482
1276;0.482
12654;0.482
1277;0.482
12670;0.482
12671;0.482
12672;0.482
12673;0.482
1278;0.482
12674;0.482
12675;0.482
12676;0.482
12677;0.482
12682;0.482
12683;0.963
1279;0.482
12684;0.963
12685;0.963
12686;0.963
12687;0.963
12688;0.963
12689;0.963
12690;0.482
1280;0.482
1281;0.482
1282;0.482
139;3.372
12741;0.482
12742;0.482
12743;0.482
12744;0.482
12745;0.482
12746;0.482
12747;0.482
12748;0.482
12779;0.482
12780;0.963
12781;0.963
12782;0.963
12783;0.963
12784;0.963
12785;0.963
12786;0.963
12787;0.963
12788;0.482
12807;0.482
12808;0.963
12809;0.963
12810;0.963
12811;0.963
12812;0.963
12813;0.963
12814;0.963
12815;0.963
12816;0.482
12820;0.482
12821;0.482
12822;0.482
12823;0.482
12824;0.482
12825;0.482
12826;0.482
12827;0.482
140;2.89
12829;0.482
12830;0.963
12831;0.963
12832;0.963
12833;0.963
1294;0.482
12834;0.963
12835;0.963
12836;0.963
12837;0.482
1295;0.482
1296;0.482
1297;0.482
12865;0.482
12866;0.482
12867;0.482
12868;0.963
12869;0.963
12870;0.963
12871;0.963
12872;0.963
12873;0.482
1298;0.482
12874;0.482
12875;0.482
12876;0.482
12879;0.482
12880;0.482
12881;0.482
12882;0.482
12883;0.482
1299;0.482
12884;0.482
12885;0.482
12886;0.482
1300;0.482
12901;0.482
12902;0.482
12903;0.482
1301;0.482
12904;0.482
12905;0.482
12906;0.482
12907;0.482
12908;0.482
12925;0.482
12926;0.482
12927;0.482
141;1.445
12928;0.482
12929;0.482
12930;0.482
12931;0.963
12932;0.963
12933;0.482
12934;0.482
12935;0.482
12936;0.482
12937;0.482
12938;0.482
12943;0.482
12944;0.963
12945;0.963
12946;1.445
12947;1.927
12948;1.927
12949;2.89
12950;3.372
12951;2.89
12952;2.89
12953;2.89
12954;1.927
12955;1.445
12956;0.963
12957;0.963
12958;1.445
12959;1.927
12960;1.927
12961;1.927
12962;1.927
12963;1.927
12964;1.927
12965;1.445
12966;1.445
12967;0.963
12968;0.963
12969;0.482
12970;0.482
12971;0.482
12972;0.963
12973;0.963
12974;0.482
12975;0.482
12976;0.482
12977;0.482
12978;0.482
12979;0.482
12980;0.482
12981;0.482
12982;0.482
12983;0.482
12984;0.482
12985;0.482
12986;0.482
12987;0.482
12988;0.482
13011;0.482
13012;0.482
13013;0.482
13014;0.482
13015;0.482
13016;0.482
13017;0.482
13018;0.482
13019;0.482
13040;0.482
13041;0.482
13042;0.482
13043;0.482
13044;0.482
13045;0.963
13046;0.963
13047;0.963
13048;0.482
13049;0.482
13050;0.482
13051;0.482
13052;0.482
13060;0.963
13061;0.963
13062;0.963
13063;0.963
13064;0.963
13065;0.482
13066;0.482
13067;0.482
13069;0.482
13070;1.445
13071;1.445
13072;1.927
13073;1.927
13074;1.927
13075;1.927
13076;1.927
13077;2.409
13078;1.445
13079;1.445
13080;0.963
13081;0.963
13082;0.963
13083;0.963
13084;1.445
13085;0.963
13086;0.963
13087;0.963
13088;0.482
13089;0.482
13090;0.482
13091;0.482
13171;0.482
13172;0.482
13173;0.482
13174;0.482
13175;0.482
13176;0.482
13177;0.482
13178;0.482
13226;0.482
13227;0.482
13228;0.482
13229;0.482
13230;0.482
13231;0.482
13232;0.482
13233;0.482
13267;0.482
13268;0.482
13269;0.482
13270;0.482
13271;0.963
13272;0.963
13273;0.963
13274;0.963
13275;1.445
13276;0.963
13277;0.963
13278;0.963
13279;0.963
13280;1.445
13281;1.445
13282;1.445
13283;1.445
13284;0.963
13285;0.963
13286;0.963
13287;1.445
13288;0.963
13289;1.445
13290;0.963
13291;1.445
13292;1.445
13293;0.963
13294;0.963
13295;0.963
13296;0.963
13297;0.963
13298;0.963
13301;0.482
13302;0.482
13303;0.482
13304;0.482
13305;0.963
13306;0.963
13307;0.963
13308;0.963
13309;0.482
13310;0.482
13311;0.482
13312;0.482
13314;0.482
13315;0.482
13316;0.482
13317;0.482
13318;0.963
13319;1.445
13320;1.445
13321;1.445
13322;0.963
13323;0.963
13324;0.963
13325;0.963
13326;0.963
13340;0.482
13341;0.482
13342;0.482
13343;0.482
13344;0.482
13345;0.482
13346;0.482
13347;0.482
13348;0.482
13350;0.482
13351;0.482
13352;1.445
13353;1.927
13354;1.927
13355;2.89
13356;2.89
13357;3.372
13358;2.89
13359;2.89
13360;2.89
13361;1.445
13362;1.445
13363;0.963
13364;0.482
13365;0.482
13366;0.482
13367;0.482
13368;0.482
13369;0.482
13370;0.482
13371;0.482
13372;0.482
13373;0.482
25;1.445
1351;0.482
1352;0.482
1353;0.482
1354;0.482
1355;0.482
13444;0.482
13445;0.482
13446;0.482
13447;0.482
13448;0.482
13449;0.482
13450;0.482
13451;0.482
13452;0.482
1356;0.482
1357;0.482
1358;1.445
1359;1.927
1360;1.927
1361;1.927
1362;1.927
1363;1.927
1364;2.409
13540;0.482
13541;0.482
13542;0.482
13543;0.482
1365;2.409
13544;0.482
13545;0.482
13546;0.482
13547;0.482
13548;0.482
13549;0.482
13550;0.482
13551;0.482
13552;0.482
13553;0.963
1366;2.409
13554;0.963
13555;0.963
13556;0.482
13557;0.482
13558;0.482
13559;0.482
13560;0.482
13561;0.482
1367;2.409
1368;1.927
13574;0.482
13575;0.482
13576;0.482
13577;0.482
13578;0.482
13579;0.482
13580;0.482
13581;0.482
13582;0.482
13583;1.445
1369;0.963
13584;1.445
13585;0.963
13586;1.445
13587;1.445
13588;1.445
13589;1.927
13590;2.409
13591;1.927
13592;1.445
13593;1.445
1370;0.963
13594;0.482
13595;0.482
13596;0.482
1371;0.963
13615;0.482
13616;0.482
13617;0.482
13618;0.482
13619;0.482
13620;0.482
13621;0.482
13622;0.482
13623;0.482
13624;0.482
13625;0.482
13626;0.482
13627;0.963
13628;0.963
13629;0.963
13630;0.963
13631;0.963
13632;0.963
13633;0.963
13634;0.963
13635;0.963
13636;0.482
13637;0.482
13638;0.482
13639;0.482
13641;0.482
13642;0.482
13643;0.482
13644;0.482
13645;0.482
13646;0.482
13647;0.482
13648;0.963
13649;0.482
13650;0.482
13651;0.482
13652;0.482
13653;0.482
13654;0.482
13655;0.482
13659;0.482
13660;0.482
13661;0.482
13662;0.482
13663;0.482
13664;0.482
13665;0.482
13666;0.482
13684;0.963
13685;0.963
13686;0.963
13687;0.963
13688;0.963
13689;0.963
13690;1.927
13691;1.927
13692;1.445
13693;3.854
13694;4.336
13695;4.817
13696;5.781
13697;5.781
13698;5.781
13699;5.299
13700;7.708
13701;5.781
13702;4.817
13703;5.299
13704;4.336
13705;4.336
13706;3.854
13707;3.372
13708;0.963
13709;0.963
13710;0.963
13711;0.482
13712;0.482
13713;0.482
13721;0.482
13722;0.482
13723;0.482
13724;0.482
13725;0.482
13726;0.482
13727;0.482
13728;0.482
13729;0.482
13730;0.482
13736;0.482
13737;0.482
13738;0.482
13739;0.482
13740;0.482
13741;0.482
13742;0.482
13743;0.482
13746;0.482
13747;0.482
13748;0.482
13749;0.482
13750;0.482
13751;0.482
13752;0.482
13753;0.482
13795;0.482
13796;0.482
13797;0.482
13798;0.482
13799;0.482
13800;0.482
13801;0.482
13802;0.482
13803;0.482
13804;0.482
13805;0.963
13806;1.445
13807;1.445
13808;1.445
13809;1.445
13810;1.445
13811;0.963
13812;0.963
13813;0.482
13814;0.482
13815;0.482
13816;0.482
13817;0.482
13818;0.482
13819;0.482
13820;0.482
13821;0.482
13832;0.482
13833;0.482
13834;0.482
13835;0.482
13836;0.963
13837;0.963
13838;0.963
13839;0.963
13840;0.482
13841;0.482
13842;0.963
13843;1.445
13844;0.963
13845;0.963
13846;0.963
13847;0.963
13848;0.963
13849;0.963
13850;0.482
13861;0.963
13862;1.927
13863;1.927
13864;1.927
13865;1.927
13866;1.927
13867;1.927
13868;1.927
13869;1.927
13870;0.963
13871;0.963
13872;0.963
13873;0.963
